event_id,magnitude,depth_km,latitude,longitude,cdi,mmi,sig,nst,dmin,gap,tsunami_flag,year,month
eq_2015_11_274,6.9,12,-29.5067,-72.0068,6,6,761,0,0.784,32,1,2015,11
eq_2015_11_275,6.6,10,6.8431,94.648,7,4,675,0,2.792,31,0,2015,11
eq_2015_11_276,6.8,46,-30.8796,-71.4519,7,7,841,0,0.258,41,1,2015,11
eq_2015_11_277,6.5,20,-8.3381,124.875,5,7,657,0,1.53,21,0,2015,11
eq_2015_10_278,7.5,231,36.5244,70.3676,8,7,1448,0,0.622,18,0,2015,10
eq_2015_10_279,7.1,135,-14.8595,167.303,6,6,780,0,0.592,11,1,2015,10
eq_2015_9_280,6.6,18,-0.6212,131.262,7,7,671,0,2.486,13,0,2015,9
eq_2015_9_281,6.6,35,-31.7275,-71.3792,5,7,820,0,1.064,14,1,2015,9
eq_2015_9_282,6.7,23,-31.5173,-71.804,5,7,718,0,0.853,35,0,2015,9
eq_2015_9_283,6.5,27,-31.4244,-71.6876,6,7,657,0,0.749,62,0,2015,9
eq_2015_9_284,7,28.41,-31.5622,-71.4262,8,7,799,0,0.903,13,0,2015,9
eq_2015_9_285,8.3,22.44,-31.5729,-71.6744,9,8,1960,0,0.684,19,1,2015,9
